Date,Predicted_Sales
2025-03-18,2058618774.6754026
2025-03-19,3648548173.5576816
2025-03-20,4024474510.6059685
2025-03-21,1011598194.8189635
2025-03-22,2357737876.615376
2025-03-23,4559763718.206436
2025-03-24,2169970082.3495116
2025-03-25,1616817442.4850006
2025-03-26,3459396480.1854987
2025-03-27,3615478745.0800276
2025-03-28,1722356242.2778938
2025-03-29,2376474711.1218534
2025-03-30,3796526007.131262
2025-03-31,2650958497.7056913
2025-04-01,1888132559.6170034
2025-04-02,3116283037.5101137
2025-04-03,3382782981.877091
2025-04-04,2172174043.5653973
2025-04-05,2399165493.1706963
2025-04-06,3378943139.6061974
2025-04-07,2812175093.311432
2025-04-08,2166952813.0746984
2025-04-09,2896045962.9357014
2025-04-10,3201549892.0939894
2025-04-11,2442322204.015723
2025-04-12,2455973684.3461924
2025-04-13,3118907630.22455
2025-04-14,2861503266.6032023
2025-04-15,2373867802.5155735
2025-04-16,2779539360.9171486
2025-04-17,3059987057.992411
2025-04-18,2598572213.5218887
2025-04-19,2522395632.8875065
2025-04-20,2956715221.527077
2025-04-21,2863321059.8444386
2025-04-22,2515513886.816702
2025-04-23,2726072872.8685393
2025-04-24,2954677062.8575397
2025-04-25,2684749446.830801
2025-04-26,2583208645.90147
2025-04-27,2858373281.642131
2025-04-28,2846143773.239263
2025-04-29,2608387100.0954533
2025-04-30,2706954849.943379
2025-05-01,2879914864.7378316
2025-05-02,2729226704.2219367
2025-05-03,2632596974.139555
2025-05-04,2800969636.8903155
2025-05-05,2823864073.5815225
2025-05-06,2667153490.8922377
2025-05-07,2704874736.3777823
2025-05-08,2828931568.0513225
2025-05-09,2749893705.226933
2025-05-10,2669853309.9682817
2025-05-11,2769011285.416888
2025-05-12,2802863717.32492
2025-05-13,2703049253.2612224
2025-05-14,2710108627.3003426
2025-05-15,2795390436.8639355
2025-05-16,2757674512.4227223
2025-05-17,2696512820.6180577
2025-05-18,2752313219.3508234
2025-05-19,2785557059.478113
2025-05-20,2724144562.478817
2025-05-21,2717555906.7019234
2025-05-22,2774064672.9185905
2025-05-23,2758993991.3259797
2025-05-24,2714803242.8332
2025-05-25,2744395641.4707446
2025-05-26,2772376362.165744
2025-05-27,2735984590.052056
2025-05-28,2724788596.275508
2025-05-29,2760967765.2886143
2025-05-30,2757462933.4630504
2025-05-31,2726900881.146067
2025-06-01,2741275384.9031315
2025-06-02,2762876609.5769124
2025-06-03,2742240881.6523104
2025-06-04,2730842524.527787
2025-06-05,2753222869.5654488
2025-06-06,2754992969.71028
2025-06-07,2734632748.9017463
2025-06-08,2740594398.409715
2025-06-09,2756320049.221021
2025-06-10,2745262241.279985
2025-06-11,2735499757.848849
2025-06-12,2748842292.9453692
2025-06-13,2752510179.9438596
2025-06-14,2739406993.4871626
2025-06-15,2741017134.743327
